last_name, first_name,player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
King, Michael,650633,NYY,SIFT,Sinker,-0.9,-5,535,53,141,0.272,0.36,0.331,13.5,13.5,18.6,0.288,0.405,0.345,44.3
Littell, Zack,641793,SF,FF,4-Seamer,-1.6,-9,574,57.8,140,0.167,0.333,0.267,31,35.7,24.9,0.184,0.355,0.282,47.9
Manoah, Alek,666201,TOR,SL,Slider,-0.6,-3,512,27.8,140,0.146,0.293,0.25,37,37.9,28,0.15,0.27,0.238,23.6
Bard, Daniel,453268,COL,SL,Slider,-1.3,-7,561,46.1,140,0.165,0.315,0.259,40.8,39.3,30.1,0.182,0.276,0.239,34.2
Bieber, Shane,669456,CLE,FF,4-Seamer,-0.1,-1,551,35.3,140,0.272,0.48,0.36,22.8,33.6,29.4,0.232,0.422,0.321,56.4
Clay, Sam,621348,WSH,SIFT,Sinker,1.2,6,528,65.8,140,0.325,0.447,0.376,16.2,12.1,13.7,0.285,0.428,0.35,43.9
Foltynewicz, Mike,592314,TEX,SL,Slider,0.7,4,529,23.7,139,0.214,0.484,0.328,28.2,31.7,19.2,0.198,0.389,0.289,42.7
Wacha, Michael,608379,TB,FC,Cutter,2.5,12,490,24.8,139,0.375,0.586,0.454,15,8.6,14.3,0.328,0.553,0.392,37
Fedde, Erick,607200,WSH,CUKC,Curveball,0.5,3,564,23.4,139,0.217,0.38,0.284,38.4,38.1,23.6,0.23,0.423,0.3,35.9
García, Jarlín,606424,SF,FF,4-Seamer,-2.2,-11,501,50,139,0.19,0.397,0.299,19.1,26.6,26.6,0.225,0.396,0.301,50
Guerra, Junior,448855,LAA,SIFT,Sinker,1.3,6,471,38.4,138,0.347,0.483,0.405,15.5,10.1,16.3,0.305,0.413,0.365,41
Cabrera, Génesis,650893,STL,FF,4-Seamer,-0.4,-2,534,44.7,138,0.164,0.273,0.286,27,33.3,25.1,0.187,0.332,0.312,43.9
Kittredge, Andrew,552640,TB,SL,Slider,-1.3,-6,442,45,138,0.195,0.301,0.235,40.8,41.3,27,0.18,0.26,0.209,28.9
Strickland, Hunter,519326,MIL,FF,4-Seamer,-1.2,-6,503,51.3,138,0.225,0.383,0.316,23,22.5,18.5,0.215,0.383,0.304,28.6
Suarez, José,660761,LAA,CH,Changeup,-2.9,-14,466,28.2,138,0.145,0.206,0.184,38.2,29,20.8,0.205,0.302,0.239,29.3
Hader, Josh,623352,MIL,FF,4-Seamer,-2.5,-16,631,65.5,137,0.103,0.171,0.2,40.5,45.3,29.8,0.14,0.23,0.233,37.5
Romano, Jordan,605447,TOR,FF,4-Seamer,-1.8,-12,642,62.3,137,0.14,0.289,0.238,28.9,35,25,0.164,0.302,0.253,33.8
Santana, Ervin,429722,KC,SL,Slider,-1.8,-10,549,51.6,137,0.165,0.228,0.211,34.7,28.5,20,0.218,0.375,0.282,31.5
Buehler, Walker,621111,LAD,SL,Slider,-1.5,-7,434,13.8,137,0.19,0.277,0.21,34.2,35,25.9,0.173,0.245,0.181,30.3
Gonzales, Marco,594835,SEA,CH,Changeup,-0.4,-2,466,20.1,137,0.191,0.405,0.269,27.8,19.7,15.6,0.215,0.37,0.268,24
Gilbert, Logan,669302,SEA,SL,Slider,1.9,10,508,23.9,137,0.211,0.469,0.314,38.2,34.3,17.7,0.229,0.462,0.318,38.6
Cole, Gerrit,543037,NYY,CH,Changeup,-0.5,-2,421,14.2,137,0.211,0.32,0.267,33.6,29.2,25.6,0.179,0.263,0.225,21.6
Wittgren, Nick,621295,CLE,FF,4-Seamer,-0.8,-5,576,56.6,136,0.234,0.5,0.329,25.1,28.7,19.2,0.271,0.523,0.354,48.9
Bummer, Aaron,607481,CWS,SIFT,Sinker,0.3,2,591,61.4,136,0.274,0.336,0.353,17.1,8.1,12.1,0.259,0.342,0.337,47.6
Lynch, Daniel,663738,KC,FF,4-Seamer,1,5,512,40.7,136,0.381,0.576,0.431,12.2,9.6,9.6,0.364,0.611,0.451,46.8
Bundy, Dylan,605164,LAA,FF,4-Seamer,0.7,4,522,34.3,136,0.237,0.474,0.368,19.3,19.1,19.7,0.227,0.448,0.348,38.2
Holland, Greg,518813,KC,SL,Slider,-0.7,-3,482,48.3,136,0.213,0.344,0.292,33.1,27.9,19.7,0.236,0.405,0.316,34.9
Ohtani, Shohei,660271,LAA,FS,Splitter,-3.3,-12,371,18.3,136,0.087,0.102,0.119,48.5,56.6,34.7,0.099,0.142,0.145,26.9
Barlow, Scott,605130,KC,SL,Slider,-0.9,-5,567,46.4,135,0.217,0.333,0.296,44.2,33.3,27.1,0.202,0.337,0.277,27.6
Kinley, Tyler,641755,COL,FF,4-Seamer,1,5,495,43.3,135,0.259,0.534,0.378,14.3,11.1,16.5,0.285,0.481,0.375,44.6
Allard, Kolby,663465,TEX,FC,Cutter,1.1,6,509,24.8,135,0.295,0.533,0.393,19,11.1,11.2,0.295,0.542,0.382,38.9
Voth, Austin,608723,WSH,FF,4-Seamer,0.3,2,607,59.5,135,0.292,0.531,0.389,20.8,23.7,18.8,0.306,0.576,0.414,53.5
Eovaldi, Nathan,543135,BOS,FC,Cutter,-0.6,-2,367,12.5,135,0.254,0.484,0.351,18.2,17.8,18.9,0.249,0.43,0.317,33.3
Rogers, Tyler,643511,SF,SL,Slider,-2.7,-13,483,42.8,134,0.126,0.22,0.162,23.9,28.4,22,0.155,0.225,0.184,19.6
Fried, Max,608331,ATL,SL,Slider,-1.2,-7,556,21.7,134,0.208,0.317,0.27,30.1,27.6,21.4,0.227,0.419,0.314,24.7
Duffey, Tyler,608648,MIN,CUKC,Curveball,-1.2,-7,540,51.3,134,0.172,0.246,0.229,27.9,25.4,18.2,0.227,0.333,0.277,43.8
Crochet, Garrett,676979,CWS,FF,4-Seamer,0.2,1,588,64.3,134,0.288,0.405,0.372,19.3,13.4,16.5,0.278,0.406,0.359,44.2
Bednar, David,670280,PIT,FF,4-Seamer,-1.7,-9,521,55.8,134,0.195,0.35,0.269,27.9,29.9,24.4,0.198,0.325,0.261,32.5
Thielbar, Caleb,573204,MIN,FF,4-Seamer,-2.2,-12,542,49,134,0.227,0.403,0.3,21.7,27.6,19.7,0.225,0.487,0.328,57
Brothers, Rex,571521,CHC,FF,4-Seamer,1.3,8,654,65.5,134,0.287,0.525,0.445,20.9,16.4,22.2,0.322,0.595,0.464,54.4
Montas, Frankie,593423,OAK,SL,Slider,0.6,4,587,19.4,134,0.274,0.427,0.335,31.5,18.7,15.2,0.288,0.479,0.349,46.5
Heaney, Andrew,571760,NYY,CH,Changeup,1.4,6,406,17.4,133,0.28,0.44,0.336,22.5,19.5,17.8,0.253,0.438,0.317,35.4
Howard, Spencer,675921,TEX,FF,4-Seamer,0.4,2,570,60.9,133,0.257,0.416,0.353,24.8,22.6,18.6,0.241,0.387,0.333,42.2
Sheffield, Justus,656954,SEA,SL,Slider,1.6,8,472,32.1,133,0.228,0.472,0.308,29.6,34.6,20,0.227,0.463,0.307,40
Keller, Mitch,656605,PIT,SL,Slider,0.8,4,446,24,133,0.263,0.398,0.326,30.5,24.8,19,0.238,0.358,0.301,47.7
Neris, Héctor,593576,PHI,FS,Splitter,-1.2,-6,505,40.6,133,0.136,0.28,0.252,45.6,39.8,27.3,0.152,0.24,0.223,32.8
de Geus, Brett,676969,ARI,SIFT,Sinker,1.8,9,502,55.1,132,0.366,0.509,0.421,11.7,15.9,18.8,0.316,0.443,0.377,41.9
Cueto, Johnny,456501,SF,CH,Changeup,2.1,9,445,23.7,132,0.264,0.456,0.341,28.6,19.7,14.9,0.271,0.428,0.321,36.4
Funkhouser, Kyle,608335,DET,SIFT,Sinker,0.1,1,479,40.3,132,0.296,0.463,0.399,13.2,11.4,15.2,0.295,0.436,0.383,36.2
Sandoval, Patrick,663776,LAA,CH,Changeup,-1.7,-7,428,29.6,132,0.139,0.209,0.223,51.4,42.4,31.1,0.147,0.215,0.222,31.7
Wilson, Bryse,669060,PIT,FF,4-Seamer,0.5,3,496,43.7,132,0.311,0.529,0.384,23.9,15.2,16.3,0.292,0.534,0.378,44.7
Hembree, Heath,592390,NYM,SL,Slider,-0.8,-4,515,47.2,132,0.169,0.398,0.287,36.9,40.9,24,0.148,0.321,0.25,31.3
Taylor, Blake,642130,HOU,FF,4-Seamer,-1.5,-8,542,72.5,132,0.216,0.288,0.304,25.4,25,24.1,0.185,0.259,0.265,23.8
Gray, Sonny,543243,CIN,FF,4-Seamer,0,0,530,23.8,132,0.281,0.465,0.38,17,9.1,16.4,0.284,0.4,0.345,30.8
Buehler, Walker,621111,LAD,FC,Cutter,-1.6,-8,514,16.3,132,0.23,0.402,0.308,29.3,15.9,18.9,0.242,0.353,0.291,17.8
Graveman, Kendall,608665,HOU,SIFT,Sinker,-1.7,-10,548,62.9,131,0.177,0.221,0.254,15.7,16.8,18.8,0.229,0.29,0.291,28.6
Suero, Wander,593833,WSH,FC,Cutter,1.2,7,573,75.3,131,0.256,0.53,0.371,24.4,24.4,18.4,0.26,0.491,0.353,44.2
Lester, Jon,452657,STL,SIFT,Sinker,1.4,5,398,16.7,130,0.297,0.483,0.367,14.6,9.2,17.6,0.267,0.422,0.326,38.9
Stroman, Marcus,573186,NYM,FC,Cutter,-1.2,-5,423,15.4,130,0.229,0.322,0.272,26.8,21.5,22,0.266,0.396,0.314,30.4
Gomber, Austin,596295,COL,SL,Slider,-0.4,-2,449,24.3,130,0.198,0.339,0.269,35,32.3,28,0.181,0.305,0.241,29.1
Maton, Phil,664208,HOU,FF,4-Seamer,0.1,1,577,49.1,130,0.206,0.412,0.338,37.8,33.1,24,0.197,0.356,0.323,30.6
Bowden, Ben,641386,COL,FF,4-Seamer,1.9,9,478,70.9,130,0.318,0.573,0.437,23.5,23.1,23.3,0.264,0.467,0.364,42.7
Álvarez, José,501625,SF,SIFT,Sinker,-2.9,-13,443,45.7,129,0.19,0.25,0.24,14.3,14.7,15.4,0.254,0.331,0.297,38.8
Petit, Yusmeiro,433589,OAK,FF,4-Seamer,-0.1,0,491,45.4,129,0.266,0.427,0.302,11,5.4,5.9,0.291,0.471,0.331,38.7
Mayers, Mike,594577,LAA,FF,4-Seamer,0.7,3,468,37.9,129,0.227,0.471,0.324,30.1,36.4,27.8,0.188,0.395,0.28,41.7
Ohtani, Shohei,660271,LAA,SL,Slider,-2.4,-11,442,21.8,129,0.193,0.336,0.262,31.3,31,26.3,0.178,0.308,0.245,30.4
Winkler, Dan,595465,CHC,FC,Cutter,0,0,524,66.6,129,0.216,0.382,0.357,26,17.1,17.6,0.234,0.351,0.346,20
Musgrove, Joe,605397,SD,FF,4-Seamer,0.2,1,578,19.7,129,0.316,0.57,0.412,20.4,20.9,18.6,0.27,0.496,0.364,45.5
Rodriguez, Eduardo,593958,BOS,FC,Cutter,1.2,6,482,17.7,129,0.301,0.487,0.389,18.4,30.2,26,0.229,0.373,0.305,36.8
Gilbreath, Lucas,656458,COL,FF,4-Seamer,-0.9,-4,461,63.1,129,0.187,0.29,0.291,26,20.9,21.1,0.2,0.307,0.294,21
Manoah, Alek,666201,TOR,SIFT,Sinker,-1,-5,492,26.7,128,0.211,0.266,0.289,23,16.4,20,0.255,0.323,0.318,34.1
Santana, Ervin,429722,KC,FF,4-Seamer,1.8,9,479,45.1,128,0.342,0.623,0.439,14.5,10.2,11.5,0.325,0.657,0.437,52.9
Weathers, Ryan,677960,SD,SL,Slider,0,0,494,30.6,128,0.217,0.348,0.291,25,24.2,17.3,0.226,0.33,0.274,31
Luzardo, Jesús,666200,MIA,CUKC,Curveball,-0.6,-3,496,28.7,128,0.195,0.356,0.27,42.1,43,28.6,0.164,0.277,0.227,33.3
Gallegos, Giovanny,606149,STL,SL,Slider,-2,-10,526,42.6,128,0.16,0.294,0.213,45.6,36.7,25.7,0.176,0.317,0.234,32
Bickford, Phil,641360,LAD,FF,4-Seamer,-2.2,-11,498,64.2,127,0.193,0.377,0.279,27.5,29.9,26.6,0.227,0.425,0.309,44.9
Darvish, Yu,506433,SD,FF,4-Seamer,0.1,0,610,22,127,0.153,0.407,0.27,34.3,43.3,26.2,0.149,0.352,0.242,42.9
Kelly, Merrill,518876,ARI,CUKC,Curveball,-0.2,-1,438,18.1,127,0.213,0.352,0.274,25.7,26.8,23.8,0.245,0.392,0.289,42
Ottavino, Adam,493603,BOS,SL,Slider,-0.3,-1,532,46.4,127,0.248,0.44,0.345,27.6,19.7,18.7,0.206,0.337,0.294,20
Kelly, Merrill,518876,ARI,SIFT,Sinker,0.7,3,447,18.4,126,0.291,0.41,0.327,12.9,15.1,18.1,0.31,0.444,0.344,48
Jax, Griffin,643377,MIN,SL,Slider,1.4,6,428,30.7,126,0.226,0.47,0.329,36,33.3,26.9,0.189,0.368,0.271,29.7
Smith, Burch,572143,OAK,FF,4-Seamer,-0.3,-1,467,68.9,125,0.291,0.444,0.341,21.4,16,16.4,0.288,0.478,0.348,41.2
Stroman, Marcus,573186,NYM,FS,Splitter,-0.4,-2,443,16.2,124,0.209,0.33,0.25,33.9,25,21.2,0.231,0.375,0.282,36
Hill, Tim,657612,SD,FF,4-Seamer,-0.2,-1,455,47.3,124,0.198,0.33,0.292,25.9,31.5,19.5,0.206,0.357,0.302,35.3
Civale, Aaron,650644,CLE,FC,Cutter,-2.8,-14,476,24.9,124,0.191,0.296,0.24,20.1,25,26.5,0.229,0.374,0.287,38.8
Sulser, Cole,642121,BAL,CH,Changeup,-3.1,-11,355,33.2,124,0.125,0.179,0.177,34.1,33.9,24,0.179,0.251,0.227,25
Fulmer, Michael,605242,DET,SL,Slider,-1.3,-6,472,39.9,124,0.243,0.27,0.251,33.5,29,20.5,0.213,0.296,0.246,27.2
López, Reynaldo,625643,CWS,FF,4-Seamer,-0.9,-5,543,57.9,124,0.196,0.42,0.283,22.8,26.6,18.8,0.228,0.417,0.298,39
Houck, Tanner,656557,BOS,FF,4-Seamer,-0.3,-1,443,38.6,124,0.257,0.321,0.307,20.7,24.2,22.9,0.241,0.396,0.315,39.5
Greinke, Zack,425844,HOU,CUKC,Curveball,0,0,428,16.6,124,0.256,0.504,0.338,25.6,13.7,17.2,0.279,0.459,0.335,23.5
Freeland, Kyle,607536,COL,CUKC,Curveball,-1.2,-5,375,19.9,124,0.157,0.261,0.229,40.3,46,28.4,0.159,0.228,0.21,31
Musgrove, Joe,605397,SD,FC,Cutter,0,0,558,19,123,0.298,0.526,0.366,22.1,11.4,19.7,0.329,0.556,0.394,40.6
Pérez, Martín,527048,BOS,CH,Changeup,0.7,3,452,24.3,123,0.314,0.5,0.366,32.4,17.9,17.9,0.274,0.471,0.331,40.2
Wood, Alex,622072,SF,CH,Changeup,1.2,6,483,22,123,0.308,0.419,0.355,19.8,13,10.3,0.278,0.393,0.312,39.6
Morton, Charlie,450203,ATL,SIFT,Sinker,1.1,4,402,13.5,123,0.33,0.437,0.409,10.6,12.2,19,0.266,0.335,0.335,40.9
Flexen, Chris,623167,SEA,CH,Changeup,-2.4,-10,431,15.3,123,0.16,0.269,0.196,26.5,21.1,16.5,0.199,0.307,0.224,16.8
Eovaldi, Nathan,543135,BOS,CUKC,Curveball,-1.2,-7,549,18.8,122,0.171,0.231,0.198,39.9,36.1,25.4,0.197,0.285,0.223,28.4
Bender, Anthony,669622,MIA,SIFT,Sinker,-0.5,-2,504,51.8,122,0.243,0.383,0.336,15.3,15.6,16.8,0.259,0.373,0.327,38.2
Helsley, Ryan,664854,STL,FF,4-Seamer,-0.5,-2,449,55.8,122,0.28,0.411,0.34,16.4,13.9,18.3,0.305,0.521,0.39,50.5
Steele, Justin,657006,CHC,FF,4-Seamer,-0.5,-2,437,45.3,122,0.227,0.443,0.373,29.6,23.8,26.1,0.198,0.31,0.314,20.3
Harvey, Matt,518774,BAL,SL,Slider,2.3,10,431,19.3,121,0.291,0.418,0.373,27.6,24.8,18.3,0.253,0.404,0.319,31.3
Anderson, Brett,474463,MIL,CH,Changeup,-1.9,-8,387,25.7,121,0.188,0.268,0.23,19.3,13.2,20.5,0.251,0.332,0.288,35
Barnes, Matt,598264,BOS,FF,4-Seamer,1.2,6,458,49.8,121,0.24,0.481,0.361,26,27.3,21.7,0.189,0.403,0.306,40.3
Gutierrez, Vladimir,661269,CIN,SL,Slider,0.2,1,411,22.4,121,0.245,0.373,0.3,37.2,24.8,23.6,0.22,0.316,0.267,23.5
Greinke, Zack,425844,HOU,SL,Slider,0.7,3,391,15.2,121,0.232,0.429,0.315,31,17.4,14,0.249,0.428,0.315,27.2
Duffy, Danny,518633,KC,FF,4-Seamer,-2.2,-10,438,43.4,121,0.217,0.311,0.295,26.2,24.8,21.7,0.229,0.378,0.312,35.5
Price, David,456034,LAD,SIFT,Sinker,0.4,2,410,34.8,121,0.308,0.529,0.405,14,9.1,10.5,0.284,0.461,0.36,34.4
Scherzer, Max,453286,LAD,CH,Changeup,-0.7,-3,421,14.9,121,0.15,0.212,0.195,28.8,28.1,15.5,0.17,0.256,0.218,20.3
Holland, Derek,502706,DET,SIFT,Sinker,-0.7,-3,391,46.8,120,0.238,0.343,0.302,18.1,26.7,26,0.224,0.34,0.295,40.5
Yarbrough, Ryan,642232,TB,CUKC,Curveball,-1.1,-5,449,18,120,0.173,0.318,0.239,33.5,25.8,21.4,0.174,0.283,0.228,16
Quintana, José,500779,SF,FF,4-Seamer,0.1,0,506,40.8,120,0.296,0.519,0.383,24.9,30.8,22.3,0.259,0.455,0.342,46.5
López, Pablo,641154,MIA,FF,4-Seamer,-1.6,-8,530,31.8,120,0.219,0.447,0.3,22.6,33.3,19.1,0.219,0.422,0.287,38.7
Lester, Jon,452657,STL,CH,Changeup,-1.1,-5,432,18.2,120,0.209,0.3,0.278,28,11.7,12.2,0.281,0.426,0.334,33
Harvey, Matt,518774,BAL,SIFT,Sinker,0.4,2,463,20.7,120,0.333,0.477,0.375,12.4,10,13,0.307,0.446,0.349,41
Espino, Paolo,502179,WSH,CUKC,Curveball,-1,-4,420,24.2,120,0.175,0.289,0.224,33.3,32.5,23.1,0.239,0.385,0.288,32
Tepera, Ryan,572193,CWS,SL,Slider,-1.7,-7,426,44.9,119,0.132,0.264,0.221,50.6,44.5,31.5,0.145,0.25,0.23,33.9
Norris, Daniel,596057,MIL,FF,4-Seamer,0.3,1,469,47.4,118,0.242,0.4,0.355,18.3,18.6,17.1,0.224,0.384,0.34,47.3
Gonsolin, Tony,664062,LAD,FF,4-Seamer,-0.5,-2,432,43.6,118,0.298,0.564,0.43,15.2,13.6,16,0.256,0.437,0.373,39.2
Fedde, Erick,607200,WSH,FC,Cutter,0.8,5,554,23,118,0.232,0.464,0.315,23.7,28,19.2,0.238,0.512,0.328,40
Jiménez, Joe,641729,DET,FF,4-Seamer,-0.6,-3,468,54,117,0.19,0.369,0.361,25.5,23.1,20,0.168,0.349,0.346,36.2
Tomlin, Josh,458708,ATL,FC,Cutter,2.2,8,381,47.2,117,0.307,0.553,0.392,20.8,15.4,17.3,0.272,0.524,0.345,35.4
Woodford, Jake,663765,STL,SIFT,Sinker,-2.2,-9,426,36.9,117,0.24,0.39,0.341,15.5,11.1,15.9,0.285,0.44,0.356,42.2
deGrom, Jacob,594798,NYM,SL,Slider,-3.5,-14,409,33.4,117,0.096,0.175,0.132,58.1,59,39.9,0.102,0.16,0.125,28.3
Bass, Anthony,542914,MIA,SL,Slider,-0.3,-2,479,49.9,117,0.182,0.345,0.257,39.7,35.9,26.1,0.178,0.346,0.241,28.6
Irvin, Cole,608344,OAK,SL,Slider,0.6,3,399,14.9,117,0.241,0.42,0.296,22.8,19.7,16.7,0.276,0.452,0.323,38.9
Bender, Anthony,669622,MIA,SL,Slider,-0.7,-3,450,46.2,117,0.162,0.314,0.273,45.2,43.6,31.3,0.148,0.245,0.209,26.3
Suárez, Ranger,624133,PHI,CH,Changeup,-1.2,-5,391,24.2,116,0.2,0.324,0.268,39.8,31.9,24.3,0.209,0.32,0.262,30
Plutko, Adam,592644,BAL,FF,4-Seamer,0.9,5,506,49.9,116,0.296,0.561,0.4,22.1,15.5,15,0.287,0.547,0.391,39.8
Arrieta, Jake,453562,SD,SL,Slider,1.2,5,415,23.8,116,0.26,0.54,0.379,21.1,25,21.8,0.278,0.529,0.378,44.6
Garcia, Bryan,650530,DET,SIFT,Sinker,1.5,6,399,54.6,116,0.295,0.558,0.443,14.1,16.4,20.4,0.322,0.65,0.458,61
Vesia, Alex,681911,LAD,FF,4-Seamer,-0.3,-2,471,72.4,116,0.163,0.398,0.299,38.6,36.2,27.8,0.159,0.36,0.284,36.8
Peralta, Wandy,593974,NYY,CH,Changeup,-2.9,-11,376,46.5,116,0.2,0.286,0.251,34,21.6,21.7,0.2,0.299,0.263,25.9
Chapman, Aroldis,547973,NYY,FF,4-Seamer,0.7,4,569,56.7,115,0.306,0.6,0.457,29.3,23.5,26.7,0.256,0.544,0.425,46.7
Díaz, Edwin,621242,NYM,SL,Slider,-2.6,-10,378,37.8,115,0.152,0.181,0.203,47.9,47,42.2,0.12,0.166,0.175,23.5
Staumont, Josh,622251,KC,FF,4-Seamer,-0.9,-5,476,43.4,115,0.208,0.302,0.303,21,19.1,19.5,0.24,0.375,0.335,44.6
Castro, Miguel,612434,NYM,SIFT,Sinker,0.1,1,525,42.8,115,0.256,0.407,0.405,24.3,9.6,19.3,0.297,0.53,0.439,46.7
Santana, Edgar,650828,ATL,SIFT,Sinker,-0.3,-1,390,63.9,115,0.257,0.457,0.343,15.2,9.6,15.9,0.278,0.486,0.354,41.1
Smith, Will,519293,ATL,SL,Slider,-1.3,-6,444,41.1,115,0.124,0.314,0.232,49.4,47,30.2,0.095,0.186,0.176,21.6
Romano, Jordan,605447,TOR,SL,Slider,-1.2,-5,379,36.8,115,0.231,0.337,0.297,36.5,31.3,29.5,0.186,0.292,0.252,33.8
Heaney, Andrew,571760,NYY,CUKC,Curveball,0.7,4,509,21.8,115,0.196,0.364,0.28,35.1,34.8,20.6,0.234,0.397,0.299,37.3
Taillon, Jameson,592791,NYY,SL,Slider,-0.4,-2,474,20,115,0.306,0.514,0.36,23.4,9.6,11,0.273,0.44,0.317,32.7
Nola, Aaron,605400,PHI,SIFT,Sinker,0.7,3,420,14.1,114,0.24,0.356,0.293,16.4,31.6,21.3,0.211,0.301,0.258,37.7
Eovaldi, Nathan,543135,BOS,FS,Splitter,0.9,3,372,12.7,114,0.183,0.303,0.253,32.1,34.2,20.3,0.237,0.347,0.271,47.1
Germán, Domingo,593334,NYY,CUKC,Curveball,-0.9,-5,536,33.9,114,0.144,0.231,0.223,42,34.2,25.8,0.181,0.299,0.248,30.8
Kelly, Merrill,518876,ARI,CH,Changeup,-0.4,-2,424,17.5,114,0.257,0.367,0.283,27.4,16.7,15,0.292,0.422,0.321,36.3
Cisnero, José,542585,DET,FF,4-Seamer,0.1,0,433,40.6,113,0.198,0.341,0.329,29.6,32.7,21,0.192,0.341,0.318,37
Wells, Tyler,669330,BAL,FF,4-Seamer,-0.7,-3,501,56,113,0.176,0.373,0.274,27.5,29.2,21.9,0.239,0.505,0.34,47.9
Morgan, Eli,669212,CLE,CH,Changeup,-1,-3,322,22.8,113,0.174,0.376,0.247,25.4,26.5,21.1,0.257,0.517,0.338,40.5
López, Jorge,605347,BAL,FF,4-Seamer,0.6,3,456,21.1,113,0.287,0.596,0.417,22.4,23,20,0.254,0.485,0.368,47.1
Hand, Brad,543272,NYM,FF,4-Seamer,0.5,2,434,40.3,113,0.25,0.457,0.36,17.9,22.1,18.1,0.263,0.476,0.37,43.7
Cueto, Johnny,456501,SF,SL,Slider,1.2,5,435,23.2,113,0.32,0.57,0.402,14.1,14.2,15.8,0.316,0.546,0.391,32.6
Thompson, Zach,605507,MIA,FC,Cutter,-2.7,-11,419,35.1,113,0.186,0.284,0.236,21.3,17.7,21.1,0.216,0.336,0.269,31.4
De Los Santos, Enyel,660853,PIT,FF,4-Seamer,1.5,7,477,68.4,113,0.333,0.625,0.463,30.3,27.4,21.2,0.265,0.514,0.374,47.1
Freeland, Kyle,607536,COL,FF,4-Seamer,-1.1,-5,470,24.9,113,0.279,0.423,0.328,13.6,7.1,10.4,0.266,0.431,0.322,30.6
Fry, Paul,643316,BAL,FF,4-Seamer,0.1,1,475,54.5,113,0.244,0.289,0.348,20.3,23.9,23.7,0.234,0.319,0.327,32.3
Ponce de Leon, Daniel,594965,STL,FF,4-Seamer,1,5,481,73.7,112,0.298,0.548,0.426,24.1,17,13.5,0.268,0.531,0.415,37.7
Minter, A.J.,621345,ATL,FC,Cutter,-1.8,-7,387,44.2,112,0.182,0.303,0.262,31.9,25.9,25,0.186,0.315,0.252,32.9
González, Chi Chi,592346,COL,SL,Slider,2.4,9,383,23.4,112,0.33,0.66,0.44,18.4,15.2,17,0.329,0.599,0.414,43.7
Bass, Anthony,542914,MIA,SIFT,Sinker,0.7,3,402,41.9,112,0.298,0.447,0.383,11.3,11.6,14.8,0.333,0.498,0.404,42.9
Green, Chad,643338,NYY,CUKC,Curveball,0,0,452,34.5,112,0.213,0.435,0.296,36.9,31.3,22.2,0.206,0.374,0.262,37
Underwood Jr., Duane,621249,PIT,FF,4-Seamer,0.5,2,427,36.3,111,0.258,0.387,0.351,16.5,13.5,13.2,0.279,0.471,0.369,39.5
King, John,667463,TEX,SIFT,Sinker,0.3,1,401,57.6,111,0.296,0.418,0.377,19.2,14.4,18.6,0.235,0.348,0.301,49.4
Woodruff, Brandon,605540,MIL,CUKC,Curveball,-1.3,-6,468,16.7,111,0.14,0.206,0.181,31.8,40.5,23.4,0.185,0.277,0.207,28.1
Zimmermann, Bruce,669145,BAL,FF,4-Seamer,1.9,9,466,42.2,111,0.392,0.711,0.496,13.4,8.1,8.3,0.367,0.686,0.476,48.3
Hearn, Taylor,621368,TEX,SIFT,Sinker,-0.5,-2,374,21.7,111,0.271,0.385,0.34,17.3,10.8,19.7,0.282,0.431,0.352,38.4
Peralta, Wily,503449,DET,FS,Splitter,-4.5,-16,352,22.7,111,0.08,0.13,0.134,36.6,32.4,21.3,0.152,0.228,0.203,22.4
Castro, Miguel,612434,NYM,SL,Slider,-1.6,-7,433,35.3,110,0.131,0.222,0.208,41.5,43.6,28.7,0.168,0.245,0.231,25.5
Germán, Domingo,593334,NYY,FF,4-Seamer,1.7,8,454,28.8,110,0.29,0.65,0.429,22.4,18.2,16,0.282,0.605,0.4,55
Fleming, Josh,676596,TB,FC,Cutter,-0.4,-2,440,27,110,0.267,0.446,0.332,15.5,12.7,11.5,0.269,0.478,0.335,28.9
Kittredge, Andrew,552640,TB,SIFT,Sinker,-2.3,-10,432,44,110,0.228,0.366,0.293,23.4,11.8,20,0.254,0.397,0.313,43.8
Miller, Andrew,453192,STL,SL,Slider,1.2,5,401,64.7,110,0.29,0.452,0.368,32.6,31.8,30.2,0.231,0.364,0.319,31.7
Watkins, Spenser,657093,BAL,FF,4-Seamer,2.7,12,450,46.9,110,0.343,0.636,0.439,13,15.5,16.7,0.317,0.599,0.414,40.5
Shoemaker, Matt,533167,MIN,FS,Splitter,0.7,2,354,33.3,110,0.245,0.392,0.306,29.2,22.7,17.5,0.246,0.372,0.291,31.6
White, Mitch,669952,LAD,FF,4-Seamer,0.6,2,396,52,110,0.211,0.368,0.315,14.5,20,20.2,0.271,0.451,0.351,44
Hembree, Heath,592390,NYM,FF,4-Seamer,0.6,3,570,52.3,110,0.253,0.444,0.345,18.8,26.4,14.6,0.235,0.383,0.308,50
Taylor, Josh,657031,BOS,SL,Slider,-3.4,-12,365,46.1,109,0.175,0.223,0.203,47.3,40.4,32.1,0.198,0.292,0.236,47.5
